objectID,x,y,people_total,avg,CI_low,CI_UP,county_level,smoker
3118,-79.115104,34.506622,113,0.69,68%,70%,37155,78
3119,-79.395315,36.07307,442,0.58,57%,59%,37001,257
3120,-79.429415,36.098647,394,0.67,67%,68%,37001,265
3121,-86.734578,34.584872,70,0.67,66%,69%,1089,47
3122,-92.446573,35.098958,282,0.71,70%,72%,5045,201
3123,-93.69168,34.056002,62,0.59,57%,60%,5109,36
3124,-89.214157,37.724039,286,0.51,50%,52%,17077,147
3125,-88.001679,42.24415,342,0.45,44%,45%,17097,153
3126,-87.698577,39.386643,170,0.53,52%,54%,17023,90
3127,-89.1441,42.269596,141,0.62,61%,64%,17201,88
3128,-90.43982,40.006661,170,0.18,17%,18%,17017,30
3129,-88.926947,37.733376,167,0.46,45%,47%,17199,77
3130,-80.030274,42.109772,83,0.36,35%,37%,42049,30
3131,-79.865068,40.127005,392,0.24,24%,25%,42051,95
3132,-79.996438,35.948302,191,0.61,60%,62%,37081,117
3133,-77.985322,35.354834,168,0.72,71%,73%,37191,121
3134,-92.178896,40.466193,62,0.26,24%,27%,29199,16
3135,-91.487068,39.301725,143,0.5,49%,51%,29007,71
3136,-94.515635,37.090306,123,0.28,27%,29%,29097,35
3137,-90.286363,38.686645,54,0.74,73%,76%,29189,40
3138,-78.71237,34.331353,117,0.69,68%,70%,37047,81
3139,-79.435432,36.11672,489,0.7,69%,70%,37001,340
3140,-77.111734,36.219214,0,0,0%,0%,37015,0
3141,-77.632804,36.438416,476,0.53,53%,54%,37083,253
3142,-101.290243,48.233302,323,0.65,64%,65%,38101,209
3143,-98.003825,46.9352,82,0.37,36%,38%,38003,30
3144,-95.948756,41.214717,120,0.54,53%,55%,31055,65
3145,-91.964316,33.12682,253,0.58,58%,59%,5003,148
3146,-96.334424,32.976485,74,0.37,35%,38%,48397,27
3147,-101.838664,34.060175,93,0.22,21%,23%,48189,21
3148,-98.677329,30.748154,71,0.46,45%,48%,48299,33
3149,-106.596351,31.995391,93,0.12,11%,13%,48141,11
3150,-95.087208,34.006607,0,0,0%,0%,40089,0
3151,-96.002816,36.169302,104,0.65,64%,66%,40113,68
3152,-88.476258,33.98822,253,0.56,55%,57%,28095,141
3153,-90.88237,32.341349,390,0.61,61%,62%,28149,239
3154,-75.385012,39.852799,177,0.27,26%,28%,42045,48
3155,-75.267218,39.897529,169,0.44,44%,45%,42045,75
3156,-75.205956,40.683534,0,0,0%,0%,42095,0
3157,-78.819327,40.225567,462,0.53,52%,54%,42111,244
3158,-78.39537,40.52902,416,0.55,54%,55%,42013,227
3159,-77.664713,39.931971,435,0.41,40%,41%,42055,176
3160,-68.21252,44.385927,145,0.26,25%,27%,23009,38
3161,-75.628933,41.423178,560,0.31,30%,32%,42069,173
3162,-76.95258,38.899854,41,0,0%,0%,11001,0
3163,-94.805532,39.737985,293,0.66,65%,67%,29021,193
3164,-87.727887,34.498242,375,0.71,70%,71%,1059,265
3165,-86.821448,33.264776,276,0.7,69%,71%,1117,193
3166,-87.572832,41.76592,971,0.51,51%,52%,17031,498
3167,-87.609107,41.805314,266,0.08,7%,8%,17031,20
3168,-87.626832,41.830766,123,0.52,51%,53%,17031,64
3169,-87.656565,41.974059,120,0,0%,1%,17031,0
3170,-76.416913,36.991682,50,0.3,29%,32%,51700,15
3171,-83.36792,30.990843,31,0.65,62%,67%,13185,20
3172,-74.021317,40.798474,273,0.04,3%,4%,34017,10
3172,-74.021317,40.798474,273,0.04,3%,4%,34017,10
3174,-75.11291,39.918548,276,0.43,42%,44%,34007,118
3175,-74.425245,39.367769,192,0.32,31%,33%,34001,62
3176,-74.275428,40.612166,177,0.09,8%,9%,34039,16
3177,-74.421221,40.496922,162,0.19,19%,20%,34023,32
3178,-79.936087,40.470051,79,0.6,58%,61%,42003,47
3179,-75.151652,39.983217,326,0.47,46%,48%,42101,153
3180,-87.654948,44.115288,101,0.42,41%,44%,55071,43
3181,-98.510449,29.416499,2085,0.17,17%,17%,48029,355
3182,-98.508541,29.455617,122,0.26,25%,27%,48029,31
3183,-98.492503,29.471603,246,0.29,29%,30%,48029,72
3184,-97.479043,25.900825,165,0.02,2%,2%,48061,3
3185,-97.412073,27.790158,452,0.27,26%,27%,48355,120
3186,-79.927729,40.406459,0,0,0%,0%,42003,0
3186,-79.927729,40.406459,0,0,0%,0%,42003,0
3188,-82.375469,39.527961,293,0.63,62%,64%,39073,184
3189,-83.600785,38.694698,228,0.57,56%,59%,39001,131
3190,-97.580828,35.446018,1329,0.24,23%,24%,40109,316
3191,-96.010301,36.078093,653,0.75,75%,76%,40143,493
3192,-99.392614,34.964613,54,0.35,33%,36%,40055,19
3193,-76.27976,36.845405,1659,0.72,71%,72%,51710,1188
3194,-95.135433,46.438221,65,0.45,44%,47%,27159,29
3195,-96.186005,48.113495,76,0.17,16%,18%,27113,13
3196,-94.458282,43.664642,0,0,0%,0%,27091,0
3197,-93.584726,45.572319,43,0.1,8%,11%,27095,4
3198,-86.598023,34.720753,341,0.63,63%,64%,1089,216
3199,-86.650057,34.744838,0,0,0%,0%,1089,0
3200,-86.854182,34.169938,341,0.67,66%,67%,1043,228
3201,-75.027688,39.380741,153,0.52,51%,53%,34011,79
3202,-85.602246,33.932113,440,0.68,68%,69%,1015,300
3203,-88.083493,30.770281,514,0.45,44%,46%,1097,231
3204,-76.414093,36.989938,93,0.4,39%,42%,51700,38
3205,-76.253265,36.859669,104,0.42,41%,43%,51710,44
3206,-76.22172,36.815543,337,0.72,71%,73%,51550,243
3207,-75.501417,41.575003,337,0.41,41%,42%,42069,140
3208,-76.622296,40.584411,175,0.55,54%,56%,42043,97
3209,-74.231905,40.725281,220,0.26,25%,27%,34013,57
3210,-74.478625,40.487042,21,0.05,4%,6%,34035,1
3211,-74.228439,40.569628,163,0,0%,0%,34023,0
3212,-75.2264,39.442091,0,0,0%,0%,34011,0
3213,-96.22564,33.064618,33,0.28,26%,30%,48231,9
3214,-97.153388,29.288024,134,0.36,35%,38%,48123,49
3215,-97.891032,31.116649,233,0.51,51%,52%,48099,120
3216,-95.391179,33.662425,22,0.5,47%,53%,48277,11
3217,-110.78656,39.596666,274,0.57,56%,58%,49007,156
3218,-94.522534,39.064033,58,0.84,83%,85%,29095,49
3219,-84.18268,39.754255,632,0.62,61%,63%,39113,392
3220,-84.161719,39.627066,40,0.46,43%,48%,39113,18
3221,-83.518391,41.631498,783,0.57,57%,58%,39095,447
3222,-81.501118,41.155396,397,0.63,63%,64%,39153,251
3223,-80.754766,41.18387,274,0.68,67%,68%,39155,185
3224,-123.074132,44.933885,106,0.56,55%,57%,41053,60
3225,-98.033185,42.593871,22,0,0%,1%,31107,0
3226,-76.249041,36.853827,63,0.37,36%,39%,51710,24
3227,-70.89606,42.817059,55,0.18,17%,19%,25009,10
3228,-71.194116,42.326722,273,0.19,18%,20%,25017,52
3229,-85.319264,35.046498,140,0.42,41%,43%,47065,59
3230,-86.769843,36.13132,313,0.33,32%,34%,47037,103
3231,-88.816482,35.625078,196,0.67,66%,68%,47113,131
3232,-87.628879,41.644745,36,0.07,6%,8%,17031,3
3233,-87.872451,41.128087,312,0.65,64%,65%,17091,202
3234,-97.720119,31.115351,325,0.46,45%,46%,48027,148
3235,-90.202275,38.617904,105,0.53,52%,55%,29510,56
3236,-92.165177,38.575394,82,0.96,96%,97%,29051,79
3237,-90.294431,36.044822,30,0.63,61%,66%,29069,19
3238,-93.783566,38.358634,238,0.62,61%,63%,29083,148
3239,-91.365514,39.705593,479,0.66,65%,66%,29127,315
3240,-89.147371,31.664599,327,0.7,70%,71%,28067,230
3241,-122.308066,47.49471,79,0.34,32%,36%,53033,27
3242,-78.429657,42.078472,61,0.44,43%,45%,36009,27
3243,-82.963644,40.012012,124,0.72,71%,73%,39049,89
3244,-82.968547,39.969816,33,0.04,3%,4%,39049,1
3245,-90.116897,29.886046,488,0.55,54%,56%,22051,269
3246,-81.651122,30.335991,217,0.67,66%,67%,12031,145
3247,-81.675454,30.34496,384,0.53,53%,54%,12031,205
3248,-92.973537,43.667299,222,0.4,39%,41%,27099,89
3249,-71.246344,42.273439,170,0.2,19%,20%,25021,33
3250,-75.678224,38.413656,124,0.47,45%,48%,24045,58
3251,-68.815004,44.82888,1445,0.47,46%,47%,23019,674
3252,-90.258053,38.640798,118,0.74,73%,75%,29510,87
3253,-90.227636,38.640118,181,0.49,47%,50%,29510,88
3254,-84.41567,39.506231,559,0.57,56%,58%,39017,318
3255,-88.426429,33.481046,893,0.64,64%,64%,28087,572
3256,-90.398324,31.881147,289,0.67,66%,68%,28029,193
3257,-108.499365,45.771111,837,0.68,68%,69%,30111,573
3258,-81.32702,28.52448,269,0.15,14%,16%,12095,41
3259,-80.242691,25.762796,372,0.02,2%,2%,12086,7
3260,-80.252825,25.73215,115,0.02,1%,2%,12086,2
3261,-80.138385,25.770443,235,0.01,1%,2%,12086,3
3262,-82.970477,30.300215,266,0.59,59%,60%,12121,158
3263,-118.230691,33.948169,2425,0.22,22%,22%,6037,526
3264,-111.975124,41.252807,397,0.56,56%,57%,49057,224
3265,-122.680089,47.566827,67,0.59,57%,61%,53035,40
3266,-70.228872,44.108573,441,0.54,53%,55%,23001,238
3267,-68.751985,44.78876,287,0.4,39%,41%,23019,115
3268,-83.050187,42.349675,638,0.68,67%,68%,26163,433
3269,-83.118228,42.439157,250,0.64,64%,65%,26163,161
3270,-83.20892,42.354717,50,0.63,61%,65%,26163,31
3271,-88.451899,47.245169,154,0.36,35%,37%,26061,55
3272,-87.398976,46.565479,329,0.61,60%,61%,26103,200
3273,-71.443259,42.437002,84,0.31,30%,33%,25017,26
3274,-76.601669,39.297699,157,0.69,68%,70%,24510,108
3275,-76.638824,39.305164,64,0.54,52%,55%,24510,35
3276,-77.410667,39.42475,108,0.01,1%,1%,24021,1
3277,-77.723969,39.639247,64,0.02,1%,2%,24043,1
3278,-96.319336,43.999372,156,0.43,42%,45%,27117,68
3279,-93.255476,44.659669,905,0.19,18%,19%,27037,168
3280,-86.851364,33.468794,0,0,0%,0%,1073,0
3281,-77.927986,34.2165,373,0.73,72%,74%,37129,273
3282,-118.848576,34.178011,119,0.32,31%,33%,6111,38
3283,-85.381991,40.187517,32,0.52,50%,55%,18035,17
3284,-86.259195,41.670748,317,0.61,61%,62%,18141,195
3285,-86.151212,39.779019,221,0.77,76%,78%,18097,171
3286,-81.209787,35.251653,107,0.12,11%,13%,37071,12
3287,-97.055715,36.112939,254,0.63,62%,64%,40119,160
3288,-122.570199,45.371181,220,0.7,69%,71%,41005,153
3289,-90.11184,38.581273,132,0.62,60%,63%,17163,81
3290,-88.537319,44.020972,111,0.66,65%,67%,55139,73
3291,-94.566083,39.030365,0,0,0%,0%,29095,0
3292,-92.433857,39.421592,451,0.59,58%,60%,29175,266
3293,-90.391279,36.760056,307,0.35,34%,36%,29023,107
3294,-89.973818,36.599876,193,0.63,62%,64%,29069,121
3295,-91.961277,37.324962,79,0.61,59%,62%,29215,48
3296,-89.923975,36.458851,70,0.48,47%,50%,29143,34
3297,-78.917896,40.323756,175,0.45,44%,46%,42021,79
3298,-71.015308,42.462531,107,0.08,7%,8%,25009,8
3299,-71.186742,42.21176,106,0.06,6%,7%,25021,7
3300,-71.453914,41.817861,1338,0.22,21%,22%,44007,291
3301,-71.504791,42.007179,222,0.14,13%,15%,44007,31
3302,-66.16704,18.394606,419,0.3,29%,30%,72021,124
3303,-86.669383,34.745816,0,0,0%,0%,1089,0
3304,-87.628633,34.218273,215,0.44,43%,45%,1133,94
3305,-87.472007,33.214059,536,0.68,68%,69%,1125,365
3306,-122.308896,47.757663,145,0.37,36%,38%,53033,54
3307,-122.230074,47.304459,118,0.34,33%,36%,53033,41
3308,-122.610717,48.516072,224,0.5,49%,51%,53057,112
3309,-97.856805,41.568809,19,0.18,16%,21%,31011,3
3310,-100.754038,41.126151,102,0.21,20%,22%,31111,21
3311,-122.589122,45.466547,63,0.63,61%,65%,41051,40
3312,-122.548004,45.492635,0,0,0%,0%,41051,0
3313,-122.584777,45.504386,0,0,0%,0%,41051,0
3314,-124.107254,43.975694,65,0.53,51%,55%,41039,34
3315,-116.95517,44.019779,156,0.32,31%,33%,41045,50
3316,-90.096846,29.938963,524,0.57,56%,58%,22071,299
3317,-90.073935,29.928371,331,0.5,49%,51%,22071,165
3318,-91.181263,30.390283,81,0.79,77%,80%,22033,64
3319,-76.640626,39.304096,61,0.56,54%,58%,24510,34
3320,-111.873518,40.904873,323,0.59,59%,60%,49011,192
3321,-76.335584,36.826453,291,0.64,64%,65%,51740,187
3322,-77.072767,38.842153,178,0.53,52%,54%,51510,95
3323,-76.260562,36.826017,798,0.67,66%,67%,51710,531
3324,-76.260731,36.854657,106,0.21,20%,22%,51710,23
3325,-77.421324,37.547553,1367,0.78,77%,78%,51760,1062
3326,-76.830045,40.232501,80,0.46,44%,47%,42043,36
3327,-82.546184,36.551528,523,0.79,79%,80%,47163,414
3328,-99.961402,31.958514,138,0.24,23%,25%,48399,33
3329,-98.608521,27.879732,151,0.12,12%,13%,48131,19
3330,-96.862752,29.906634,158,0.35,34%,36%,48149,55
3331,-99.00476,26.404839,183,0.01,1%,1%,48427,2
3332,-97.754731,30.42094,266,0.38,37%,39%,48453,102
3333,-93.05348,34.11502,204,0.59,58%,60%,5019,120
3334,-74.201736,40.692776,217,0.4,39%,40%,34013,86
3335,-97.442316,30.721982,43,0.32,30%,34%,48491,14
3336,-76.325906,37.018335,305,0.69,69%,70%,51650,212
3337,-72.480005,43.294218,129,0.33,32%,34%,50027,43
3338,-122.38704,47.539842,177,0.37,36%,38%,53033,66
3339,-122.37368,47.547298,657,0.17,17%,17%,53033,113
3340,-92.533896,44.564013,171,0.31,30%,32%,27049,53
3341,-92.680229,47.852279,91,0.21,20%,22%,27137,19
3341,-92.680229,47.852279,91,0.21,20%,22%,27137,19
3343,-89.383961,38.078621,146,0.46,45%,47%,17145,68
3344,-80.155744,41.63321,130,0.35,34%,37%,42039,46
3345,-76.738126,40.195109,110,0.55,54%,56%,42043,61
3346,-77.559369,40.586078,62,0.15,14%,17%,42087,9
3347,-76.606248,39.289728,0,0,0%,0%,24510,0
3348,-75.861287,37.974507,264,0.21,20%,22%,24039,56
3349,-76.910923,38.864693,74,0.22,21%,24%,24033,16
3350,-81.099154,36.944462,301,0.65,65%,66%,51197,197
3351,-94.591497,39.244599,0,0,0%,0%,29047,0
3352,-98.568396,29.425158,138,0.19,18%,20%,48029,26
3353,-98.473069,29.427121,77,0.42,41%,43%,48029,32
3354,-97.50287,25.937581,771,0.06,6%,6%,48061,46
3355,-94.048283,33.435777,42,0.64,62%,66%,48037,27
3356,-98.489584,33.926344,161,0.63,62%,64%,48485,102
3357,-98.343862,32.078142,164,0.35,34%,37%,48143,58
3358,-91.175848,36.200705,45,0.34,32%,36%,5075,15
3359,-123.430266,48.116316,173,0.71,70%,72%,53009,123
3360,-122.404459,47.21622,130,0.42,40%,43%,53053,54
3361,-71.047434,42.433241,248,0.17,16%,18%,25017,42
3362,-71.093748,42.398146,640,0.15,15%,16%,25017,98
3363,-71.223642,42.724963,95,0.15,14%,16%,25009,14
3364,-87.664721,41.897588,388,0.03,2%,3%,17031,10
3365,-94.371049,44.889022,102,0.37,36%,38%,27085,38
3366,-96.282582,47.537376,155,0.29,28%,30%,27119,45
3367,-95.368294,46.517385,48,0.46,44%,48%,27111,22
3368,-77.948885,34.227892,157,0.83,82%,84%,37129,130
3369,-77.93453,34.241602,133,0.61,59%,62%,37129,81
3370,-78.636363,35.792793,123,0.39,38%,40%,37183,48
3371,-94.302632,45.564043,53,0.29,27%,30%,27145,15
3372,-83.460263,34.199453,107,0.65,64%,67%,13157,70
3373,-82.853418,31.302342,40,0.72,70%,74%,13003,29
3374,-71.12058,42.278695,137,0.18,17%,19%,25025,24
3375,-96.724983,32.90338,343,0.7,69%,70%,48113,239
3376,-88.993209,40.471618,326,0.46,46%,47%,17113,151
3377,-89.235256,37.726622,97,0.3,29%,32%,17077,29
3378,-88.896519,38.309292,248,0.48,48%,49%,17081,120
3379,-81.346719,40.792887,422,0.65,65%,66%,39151,276
3380,-81.36656,40.784916,941,0.68,68%,69%,39151,640
3381,-80.746672,40.014402,328,0.74,74%,75%,39013,244
3382,-75.181659,39.941108,38,0.3,28%,33%,42101,12
3383,-89.750419,38.252526,245,0.54,54%,55%,17163,133
3384,-78.944418,40.359798,143,0.58,57%,59%,42021,83
3385,-78.832007,40.484077,223,0.51,50%,52%,42021,114
3386,-76.712061,39.966631,255,0.37,36%,37%,42133,93
3387,-122.345229,47.759921,161,0.34,33%,35%,53033,55
3388,-122.146198,47.61557,271,0.28,27%,29%,53033,75
3389,-122.33949,47.514024,45,0.32,30%,34%,53033,15
3390,-111.281443,47.499408,485,0.68,67%,69%,30013,330
3391,-122.181196,47.488413,68,0.3,29%,32%,53033,21
3392,-122.737223,48.98357,193,0.4,39%,41%,53073,78
3393,-68.418844,44.533703,54,0.46,44%,48%,23009,25
3394,-86.890285,33.509322,82,0.46,45%,48%,1073,38
3395,-85.387241,31.213318,184,0.44,43%,45%,1069,81
3396,-86.628791,34.713221,56,0.66,64%,67%,1089,37
3397,-84.112217,33.710946,173,0.54,53%,55%,13089,93
3398,-84.453876,33.654847,519,0.53,53%,54%,13121,276
3399,-84.603499,33.616555,223,0.76,76%,77%,13121,170
3400,-75.028111,39.417858,116,0.16,15%,17%,34011,19
3401,-73.987772,40.820616,440,0.03,3%,4%,34003,15
3402,-80.839356,35.229576,0,0,0%,0%,37119,0
3403,-80.004578,35.945312,159,0.52,50%,53%,37081,82
3404,-79.775515,36.13885,92,0.51,50%,53%,37081,47
3405,-98.185491,26.310416,0,0,0%,0%,48215,0
3406,-97.66968,26.229265,613,0.11,10%,11%,48061,66
3407,-87.909705,42.142893,101,0.04,4%,5%,17031,4
3408,-89.693799,41.764694,311,0.55,55%,56%,17195,172
3409,-79.179495,35.473372,153,0.56,55%,57%,37105,86
3410,-78.98669,36.381535,426,0.49,48%,49%,37145,207
3411,-77.688084,36.466318,0,0,0%,0%,37083,0
3412,-93.290739,44.986113,738,0.41,40%,41%,27053,299
3413,-77.737393,39.645706,99,0.48,46%,49%,24043,47
3414,-75.862274,37.975621,132,0.33,32%,34%,24039,43
3415,-82.405521,32.211963,266,0.53,52%,53%,13279,140
3416,-83.234441,31.593119,372,0.67,66%,67%,13155,248
3417,-97.151198,29.997815,182,0.43,42%,44%,48021,78
3418,-92.320906,38.975173,0,0,0%,0%,29019,0
3419,-91.852918,36.724327,181,0.42,41%,43%,29091,76
3420,-117.06171,32.582754,214,0.21,20%,22%,6073,45
3421,-95.476722,40.720404,24,0.22,20%,25%,19071,5
3422,-115.297127,42.958529,134,0.48,46%,49%,16039,64
3423,-92.680034,43.065275,192,0.34,33%,35%,19067,66
3424,-93.592266,41.602754,46,0.51,49%,53%,19153,24
3425,-98.179292,26.296832,545,0.04,4%,5%,48215,24
3426,-97.714696,26.174877,0,0,0%,0%,48061,0
3427,-96.40997,33.605682,43,0.38,36%,40%,48181,17
3428,-83.532193,41.65686,972,0.72,71%,72%,39095,696
3429,-81.489379,41.023414,271,0.62,61%,63%,39153,167
3430,-81.590213,41.006915,198,0.54,53%,55%,39153,107
3431,-81.539026,41.061452,0,0,0%,0%,39153,0
3432,-84.41944,39.495944,592,0.45,44%,45%,39017,265
3433,-81.688047,38.761059,276,0.61,61%,62%,54035,170
3434,-80.494336,41.234461,329,0.59,58%,60%,42085,194
3435,-75.393712,40.037615,99,0.47,45%,48%,42045,46
3436,-77.522123,35.888734,137,0.46,45%,47%,37065,63
3437,-99.37484,46.039946,0,0,0%,0%,38051,0
3438,-74.183137,40.73129,100,0.26,24%,27%,34013,26
3439,-74.219161,40.673404,58,0.29,27%,30%,34039,17
3440,-74.282008,40.533142,0,0,0%,0%,34023,0
3441,-75.11203,39.921389,149,0.4,39%,41%,34007,59
3442,-74.436702,39.365485,43,0.55,53%,57%,34001,24
3443,-84.478738,38.047426,61,0.73,72%,75%,21067,45
3444,-94.226213,39.342893,229,0.61,60%,61%,29047,139
3445,-73.992268,40.57509,3376,0.12,12%,12%,36047,410
3446,-73.974924,40.785736,331,0.09,8%,9%,36061,30
3447,-75.231181,43.094747,72,0.36,34%,37%,36065,26
3448,-73.75504,42.663002,309,0.38,37%,39%,36001,117
3449,-90.038645,35.129967,98,0.56,55%,57%,47157,55
3450,-90.067788,35.103056,63,0.13,11%,14%,47157,8
3451,-83.906402,36.019376,850,0.65,65%,66%,47093,554
3452,-87.596223,41.778679,165,0.02,2%,2%,17031,3
3453,-76.600065,39.289513,329,0.42,41%,43%,24510,138
3454,-78.769811,39.649256,101,0.8,79%,81%,24001,81
3455,-76.101093,39.54975,166,0.18,17%,19%,24025,30
3456,-67.154237,18.177263,299,0.14,14%,15%,72097,43
3457,-88.561717,34.933205,250,0.4,39%,40%,28003,99
3457,-88.561717,34.933205,250,0.4,39%,40%,28003,99
3459,-81.116197,32.085048,90,0.75,74%,76%,13051,67
3460,-84.394732,33.768703,0,0,0%,0%,13121,0
3461,-84.450282,33.793033,147,0.56,55%,57%,13121,83
3462,-84.403165,33.742483,155,0.67,66%,68%,13121,104
3463,-80.828876,35.146465,19,0.08,7%,9%,37119,2
3464,-80.850048,35.235558,217,0.68,67%,69%,37119,148
3465,-77.04783,35.10614,437,0.67,67%,68%,37049,295
3466,-87.494394,37.33092,355,0.59,59%,60%,21107,211
3467,-84.468981,39.081888,150,0.16,15%,17%,21037,24
3468,-97.655456,29.676339,276,0.31,31%,32%,48055,86
3469,-111.965109,40.693107,108,0.15,14%,15%,49035,16
3470,-90.189872,38.636339,137,0.51,49%,52%,29510,69
3471,-86.121171,39.780309,12,0.86,84%,89%,18097,10
3472,-87.470346,41.623309,1062,0.58,57%,58%,18089,615
3473,-94.633645,39.1183,307,0.61,61%,62%,20209,189
3474,-84.313846,33.741212,440,0.57,57%,58%,13089,252
3474,-84.313846,33.741212,440,0.57,57%,58%,13089,252
3476,-75.219943,39.963678,952,0.35,35%,36%,42101,334
3477,-75.177185,39.974478,774,0.5,49%,50%,42101,383
3478,-75.659411,41.412021,277,0.33,32%,34%,42069,91
3479,-85.706952,31.319709,112,0.41,40%,43%,1045,46
3480,-92.278594,34.732086,249,0.73,73%,74%,5119,183
3481,-90.187683,38.638727,113,0.61,60%,63%,29510,69
3482,-76.805068,42.082387,332,0.42,41%,43%,36015,139
3483,-122.422795,37.713993,1613,0.49,49%,50%,6075,797
3484,-84.448118,42.807599,108,0.71,70%,73%,26037,77
3485,-93.097965,44.948724,269,0.51,50%,52%,27123,137
3486,-93.145744,44.912577,1005,0.44,44%,44%,27123,442
3487,-93.036073,44.890793,131,0.34,33%,36%,27037,45
3488,-75.906828,43.97921,444,0.37,37%,38%,36045,166
3489,-76.17568,42.63701,344,0.26,25%,27%,36023,89
3490,-79.97985,35.951748,34,0.46,44%,48%,37081,16
3491,-85.686436,38.198701,157,0.5,49%,51%,21111,79
3492,-85.743954,38.252587,167,0.53,52%,54%,21111,89
3493,-84.513581,39.058818,949,0.71,70%,71%,21117,671
3494,-96.787164,46.910664,144,0.79,78%,80%,38017,114
3495,-73.978265,40.823508,36,0.03,2%,3%,34003,1
3496,-75.127318,39.897147,143,0.04,3%,4%,34007,5
3497,-108.727514,35.524568,29,0.11,10%,13%,35031,3
3498,-95.910514,33.582069,121,0.56,55%,57%,48147,67
3499,-87.623702,41.509853,376,0.68,67%,68%,17031,254
3500,-84.142796,33.043921,233,0.54,53%,55%,13171,126
3501,-84.733549,31.177785,161,0.48,47%,50%,13201,78
3502,-90.083481,29.944002,188,0.5,49%,51%,22071,94
3503,-90.035136,29.986671,109,0.6,59%,62%,22071,66
3504,-93.74893,32.446288,379,0.66,65%,67%,22017,250
3505,-71.550686,43.214493,209,0.23,22%,24%,33013,48
3506,-96.610191,47.776398,69,0.5,48%,51%,27119,34
3507,-82.791715,27.957376,204,0.43,42%,44%,12103,89
3508,-82.176371,28.458339,116,0.45,44%,46%,12101,52
3509,-80.426528,25.10728,130,0.11,11%,12%,12087,15
3510,-84.986494,32.454231,0,0,0%,0%,13215,0
3511,-90.149634,38.618062,210,0.58,57%,59%,17163,122
3512,-73.84429,40.883984,575,0.1,9%,10%,36005,55
3513,-87.922189,43.079649,0,0,0%,0%,55079,0
3514,-91.918056,44.871838,54,0.5,49%,52%,55033,27
3515,-87.681319,41.881204,0,0,0%,0%,17031,0
3516,-87.64244,41.903587,71,0.36,34%,37%,17031,25
3517,-87.627978,41.826974,89,0.52,51%,53%,17031,46
3518,-92.098919,34.899121,231,0.65,64%,66%,5119,151
3519,-112.047491,33.455677,69,0.12,11%,13%,4013,8
3519,-112.047491,33.455677,69,0.12,11%,13%,4013,8
3521,-73.706097,42.774564,315,0.32,31%,33%,36001,101
3522,-77.618325,43.141565,108,0.24,23%,25%,36055,26
3523,-73.992989,41.941481,45,0.26,24%,28%,36111,12
3524,-79.681168,36.351177,239,0.65,64%,66%,37157,156
3525,-83.770269,39.918234,157,0.82,81%,83%,39023,129
3526,-102.733203,40.123564,51,0.2,18%,21%,8125,10
3527,-104.777936,38.846495,283,0.61,60%,61%,8041,171
3528,-90.147545,29.909283,268,0.71,70%,72%,22051,190
3529,-80.350334,41.005522,404,0.59,59%,60%,42073,240
3530,-94.948721,29.74663,33,0.37,35%,40%,48201,12
3531,-84.488023,37.977427,506,0.51,51%,52%,21067,260
3532,-82.811411,37.813519,161,0.57,56%,59%,21115,92
3533,-71.875809,42.063186,65,0.13,12%,14%,25027,9
3534,-74.848191,40.170432,140,0.03,3%,4%,42017,4
3535,-75.858566,41.445569,168,0.44,43%,45%,42131,74
3536,-75.268626,43.088021,749,0.31,30%,31%,36065,232
3537,-85.518754,36.170561,992,0.67,67%,67%,47141,666
3538,-87.034426,35.589428,595,0.5,49%,51%,47119,297
3539,-85.017575,35.497479,582,0.62,62%,63%,47143,362
3540,-88.809782,43.009729,104,0.22,21%,23%,55055,23
3541,-81.665782,38.373631,0,0,0%,0%,54039,0
3542,-81.663515,38.378707,15,0.36,33%,38%,54039,5
3543,-77.602956,43.144956,387,0.23,22%,23%,36055,87
3544,-91.661763,44.569688,25,0.12,10%,14%,55011,3
3545,-76.895467,40.288969,201,0.31,30%,32%,42043,62
3546,-76.733526,39.955081,105,0.31,30%,32%,42133,33
3547,-94.341104,33.332558,39,0.26,24%,28%,48037,10
3548,-98.488357,28.96509,167,0.27,26%,28%,48013,45
3549,-94.485017,31.830378,39,0.42,39%,45%,48347,16
3550,-78.650782,35.781424,102,0.31,29%,32%,37183,31
3551,-96.200083,33.29473,34,0.4,37%,42%,48231,13
3552,-72.960496,41.324349,71,0.18,17%,19%,9009,13
3553,-72.956913,41.329495,149,0.4,39%,41%,9009,59
3554,-73.544524,41.051164,0,0,0%,0%,9001,0
3555,-73.483571,41.145843,47,0.19,18%,21%,9001,9
3556,-76.978295,38.872942,0,0,0%,0%,11001,0
3557,-85.257986,34.005674,100,0.55,53%,56%,13233,55
3558,-75.531273,39.748756,196,0.27,26%,28%,10003,53
3559,-82.459687,28.023054,295,0.31,31%,32%,12057,93
3560,-121.468096,38.515644,618,0.58,58%,59%,6067,360
3561,-122.346229,37.923178,88,0.2,19%,21%,6013,18
3562,-79.964377,40.417383,222,0.53,52%,53%,42003,117
3563,-79.92328,40.429742,69,0.61,59%,63%,42003,42
3564,-79.960029,40.434161,63,0.53,52%,55%,42003,34
3565,-75.176206,40.026997,36,0.26,24%,28%,42101,9
3566,-75.08925,40.041159,394,0.53,53%,54%,42101,210
3567,-75.150247,39.935856,977,0.17,17%,17%,42101,166
3568,-92.896751,44.942374,183,0.44,43%,45%,27163,81
3569,-84.416823,33.742069,25,0.84,82%,86%,13121,21
